case,x1,y1,x2,y2
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00177.nii\imaging.nii,81,226,447,371
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00178.nii\imaging.nii,124,288,380,365
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00179.nii\imaging.nii,49,224,461,372
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00180.nii\imaging.nii,93,247,429,371
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00181.nii\imaging.nii,75,267,414,393
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00182.nii\imaging.nii,116,193,393,319
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00183.nii\imaging.nii,90,210,411,338
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00184.nii\imaging.nii,106,187,422,314
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00185.nii\imaging.nii,106,215,442,326
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00186.nii\imaging.nii,73,237,443,372
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00187.nii\imaging.nii,125,261,425,361
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00188.nii\imaging.nii,108,256,441,371
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00189.nii\imaging.nii,67,192,462,362
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00190.nii\imaging.nii,62,203,460,341
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00191.nii\imaging.nii,98,248,441,369
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00192.nii\imaging.nii,89,247,426,378
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00193.nii\imaging.nii,139,241,427,362
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00194.nii\imaging.nii,92,242,450,387
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00195.nii\imaging.nii,114,250,401,362
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00196.nii\imaging.nii,106,211,422,320
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00197.nii\imaging.nii,76,227,442,365
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00198.nii\imaging.nii,98,227,443,362
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00199.nii\imaging.nii,75,183,434,303
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00200.nii\imaging.nii,69,222,448,347
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00201.nii\imaging.nii,68,210,446,356
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00202.nii\imaging.nii,108,230,405,327
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00203.nii\imaging.nii,90,233,437,353
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00204.nii\imaging.nii,103,260,443,379
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00205.nii\imaging.nii,105,235,423,335
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00206.nii\imaging.nii,126,235,410,344
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00207.nii\imaging.nii,85,222,438,374
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00208.nii\imaging.nii,89,272,400,384
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00209.nii\imaging.nii,102,208,437,356
